hexcode,Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,Substituted
F09F998F,🙏,0x1f64f,1539,0.793847592,124,648,767,
F09F998A,🙊,0x1f64a,725,0.740523086,97,197,431,
F09F9989,🙉,0x1f649,150,0.757694988,26,47,77,
F09F9988,🙈,0x1f648,1456,0.738880937,238,350,868,
F09F98B4,😴,0x1f634,718,0.849922938,303,170,245,
F09F98B1,😱,0x1f631,1130,0.773313178,298,319,513,
F09F98AD,😭,0x1f62d,5526,0.803351976,2412,1218,1896,
F09F98A8,😨,0x1f628,269,0.813687927,117,73,79,
F09F98A2,😢,0x1f622,749,0.813896833,288,168,293,
F09F98A1,😡,0x1f621,756,0.861522028,403,81,272,
F09F9898,😘,0x1f618,3648,0.854480172,193,702,2753,
F09F9890,😐,0x1f610,270,0.882732825,150,76,44,
F09F988E,😎,0x1f60e,754,0.76564387,79,224,451,
F09F988D,😍,0x1f60d,6359,0.765292366,329,1390,4640,
F09F9888,😈,0x1f608,325,0.762497655,66,106,153,
F09F9887,😇,0x1f607,135,0.781831331,9,36,90,
F09F9881,😁,0x1f601,2189,0.796151187,278,648,1263,
F09F97BF,🗿,0x1f5ff,58,0.941936907,5,21,32,
F09F94A5,🔥,0x1f525,651,0.61555041,80,400,171,
F09F92AF,💯,0x1f4af,637,0.871819418,179,202,256,
F09F92A9,💩,0x1f4a9,229,0.839720048,94,68,67,
F09F9298,💘,0x1f498,395,0.785036942,18,87,290,
F09F9294,💔,0x1f494,328,0.835831574,136,96,96,
F09F928B,💋,0x1f48b,734,0.800580592,28,169,537,
F09F928A,💊,0x1f48a,55,0.675071279,8,14,33,
F09F9285,💅,0x1f485,149,0.755747604,27,36,86,
F09F91BE,👾,0x1f47e,105,0.55188131,1,64,40,
F09F91BB,👻,0x1f47b,168,0.740824428,28,73,67,
F09F918F,👏,0x1f44f,2336,0.787130164,243,634,1459,
F09F918E,👎,0x1f44e,258,0.914491346,128,51,79,
F09F918D,👍,0x1f44d,1854,0.812125626,213,460,1181,
F09F918C,👌,0x1f44c,2925,0.805222883,274,728,1923,
F09F9180,👀,0x1f440,410,0.759422009,93,198,119,
F09F90B3,🐳,0x1f433,20,0.65571861,4,9,7,
F09F8F86,🏆,0x1f3c6,194,0.705937446,6,39,149,
F09F8E89,🎉,0x1f389,1125,0.743635879,43,207,875,
F09F8E85,🎅,0x1f385,274,0.800786662,7,172,95,
F09F8E84,🎄,0x1f384,236,0.632526433,15,79,142,
F09F8E83,🎃,0x1f383,81,0.723541282,6,19,56,
F09F8D93,🍓,0x1f353,94,0.689469367,3,23,68,
F09F8D8C,🍌,0x1f34c,82,0.540634157,10,25,47,
F09F8C9A,🌚,0x1f31a,148,0.759894657,23,32,93,
F09F8692,🆒,0x1f192,19,0.627794041,0,11,8,
E29DA4,❤,0x2764,8050,0.746943086,355,1334,6361,
E29C8D,✍,0x270d,1,1,0,0,1,
E29AA1,⚡,0x26a1,246,0.778780762,10,182,54,
E29883,☃,0x2603,2,0.566037736,0,1,1,
F09FA4AE,😠,0x1f620,288,0.849218089,163,49,76,ANGRY FACE
F09FA4AC,💰,0x1f4b0,168,0.827466509,26,73,69,MONEY BAG
F09FA4A3,😂,0x1f602,14622,0.805100583,3614,4163,6845,FACE WITH TEARS OF JOY
F09FA494,😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE
F09FA4A1,🎉,0x1f389,1125,0.743635879,43,207,875,PARTY POPPER
F09F9695,✊,0x270a,270,0.858608998,37,79,154,RAISED FIST
F09F958A,☮,0x262e,5,0.75037594,2,1,2,PEACE SYMBOL
F09FA4AF,😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE
F09FA4B7,😐,0x1f610,270,0.882732825,150,76,44,NEUTRAL FACE
