"lang_messeges","num_rows","sum_members","lang_messeges_abbr"
"RUSSIAN",2503,105644194,"RUS"
"ENGLISH",3916,57252905,"ENG"
"GERMAN",7400,25675689,"GER"
"UKRAINIAN",443,16457745,"UKR"
"SPANISH",162,2315254,"SPA"
"PERSIAN",28,2005304,"PER"
"ITALIAN",148,1311443,"ITA"
"POLISH",800,1002861,"POL"
"FRENCH",94,915778,"FRE"
"SLOVAK",366,745350,"SLO"
"SERBIAN",281,728985,"SER"
"ROMANIAN",192,598009,"ROM"
"CZECH",548,501668,"CZE"
"DUTCH",47,329558,"DUT"
"CHINESE",27,302972,"CHI"
"UZBEK",22,297870,"UZB"
"PORTUGUESE",29,281453,"POR"
"TURKISH",6,191290,"TUR"
"BELARUSIAN",25,184798,"BEL"
"BULGARIAN",185,183332,"BUL"
"MALAY",1,167587,"MAL"
"CROATIAN",128,138103,"CRO"
"HUNGARIAN",159,109078,"HUN"
"CHINESET",22,107749,"CHI"
"INDONESIAN",19,66703,"IND"
"LITHUANIAN",43,59019,"LIT"
"ARABIC",16,57112,"ARA"
"LATVIAN",51,51006,"LAT"
"X_INHERITED",9,34822,"X_I"
"JAPANESE",7,24280,"JAP"
"HEBREW",7,20982,"HEB"
"VIETNAMESE",5,20302,"VIE"
"ESTONIAN",5,16488,"EST"
"IRISH",1,15224,"IRI"
"AFRIKAANS",2,11324,"AFR"
"NORWEGIAN",3,10034,"NOR"
"SLOVENIAN",4,4079,"SLO"
"ALBANIAN",3,3453,"ALB"
"HINDI",1,2869,"HIN"
"DANISH",4,2486,"DAN"
"BOSNIAN",7,2468,"BOS"
"SWEDISH",7,2226,"SWE"
"GREEK",6,2167,"GRE"
"TAJIK",4,2041,"TAJ"
"FINNISH",5,1944,"FIN"
"X_RUNIC",2,800,"X_R"
"THAI",1,488,"THA"
"URDU",1,313,"URD"
"MACEDONIAN",2,276,"MAC"
"BURMESE",1,178,"BUR"
"KINYARWANDA",1,1,"KIN"
