"Label","casusbellilive","zemavek","mimisramova","neCT24","MGzpravy","BN4JeyTQ6RVkMTNk","slovanskenoviny","cz24news","investigativnyblogSK","jarek53"
"channel_id","1189306052","1535416724","1833277468","1603368342","1785561708","1537767311","1300672861","1325686374","1585867944","1639049503"
"username","casusbellilive","zemavek","mimisramova","neCT24","MGzpravy","BN4JeyTQ6RVkMTNk","slovanskenoviny","cz24news","investigativnyblogSK","jarek53"
"name","Casus Belli Live","ZEM&VEK","Mimi ?ramov?","ne?T24","MG - zpr?vy 24/7 bez cenzury!","Martha Scholler","Slovansk? Noviny","CZ24.NEWS","Blog investigat?vnej ?urnalistiky","Co kdyby"
"subscribers","40000","33200","26500","28700","7820","10100","14300","30300","17600","8080"
"catalogue_count","185541","72020","36633","64688","154853","147916","86928","135209","66680","64469"
"msg_count","32348","19922","15903","13829","50481","36816","25832","10779","15971","19825"
"reaction_count",NA,"6313820","7673983","3428369","839575","2066226","2198481","1647069","1795190","315283"
"forwarded_from","3149","1088","3410","2225","194","843","1788","1580","2031","1010"
"forwarded_to","454","62","5751","323","3601","896","1536","5","4993","3242"
"lang","SLOVAK","SLOVAK","SLOVAK","CZECH","CZECH","CZECH","SLOVAK","CZECH","SLOVAK","CZECH"
"reach_own","1293920000","661410400","421429500","396892300","394761420","371841600","369397600","326603700","281089600","160186000"
"reacts_per_msg",NA,"316.927015359904","482.549393196252","247.911562658182","16.6315049226442","56.1230443285528","85.1068829358935","152.803506818814","112.403105628952","15.9033039092055"
"rpms",NA,"0.00954599443855131","0.0182094110640095","0.00863803354209694","0.00212679091082406","0.00555673706223295","0.00595153027523731","0.00504302002702358","0.00638654009255412","0.00196823068183237"
"messages_reacted_to","0","18364","13548","11302","39284","30742","23850","10417","13242","15672"
"reaction_rows","0","107850","99650","33229","82581","90145","93820","56739","57544","36889"
"reactions_with_sentiment","0","6297190","7515300","3428369","833493","2049562","2189448","1572239","1779818","305503"
"total_reactions_count","0","6313820","7673983","3428369","839575","2066226","2198481","1647069","1795190","315283"
"positiveness","NaN","0.187106653920241","0.194305669767009","0.379642739740092","0.466766967449037","0.578048163461266","0.346111348613897","0.434419639762148","0.541683812614548","0.493885984753014"
"neutrality","NaN","0.298565622126695","0.294933934773063","0.326323216666584","0.211691039996737","0.271131124601256","0.249971134276768","0.354356748560492","0.310464665488269","0.276299578072883"
"polarization","NaN","0.816348870233846","0.816891285253632","0.727700607046643","0.755273167868218","0.628274777559788","0.79387391951361","0.675960670474572","0.62937586676254","0.692659408361471"
